canonical,family,true_model_type,semantic_role,surface,lane,timing_kind,explicit_timing,feature_inputs,label_input,label_horizon,stateful,checkpointable,missing_policy,window_semantics,min_history,min_effective_obs,input_units,output_unit,parameter_domain_certified,oracle_required,oracle_pass,causality_pass,future_poison_pass,label_poison_pass,missing_gap_pass,unit_contract_pass,backend_parity_pass,batch_single_parity_pass,optimized_reference_parity_pass,performance_lane,default_searchable,final_direct_use_ready,failure_reasons,evidence_sha
panel_rolling_pca_resid_vol,panel_model,statistical_estimator,,extended,FAST_NATIVE_ALPHA,prior_fit_predictive,True,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,fast,true,False,no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
panel_rolling_pcr_forecast,panel_model,statistical_estimator,model_score,extended,MODEL_FEATURE_SCORE,prior_fit_predictive,True,"x1,x2,x3,x4",y,label_horizon,False,False,finite_only,,,,,,False,family_oracle,,,,,,,,,,,true,False,no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
panel_rolling_pls_forecast,panel_model,statistical_estimator,model_score,extended,MODEL_FEATURE_SCORE,prior_fit_predictive,True,"x1,x2,x3,x4",y,label_horizon,False,False,finite_only,,,,,,False,family_oracle,,,,,,,,,,,true,False,no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
state_deadband,state,state,,daily,DIAGNOSTIC_RESEARCH,self_fit_descriptive,False,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,no_explicit_timing|not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
state_episode_efficiency,state,state,,daily,DIAGNOSTIC_RESEARCH,self_fit_descriptive,False,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,no_explicit_timing|not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
state_episode_excursion_balance,state,state,,daily,DIAGNOSTIC_RESEARCH,self_fit_descriptive,False,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,no_explicit_timing|not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
state_episode_mae,state,state,,daily,DIAGNOSTIC_RESEARCH,self_fit_descriptive,False,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,no_explicit_timing|not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
state_episode_mfe,state,state,,daily,DIAGNOSTIC_RESEARCH,self_fit_descriptive,False,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,no_explicit_timing|not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
state_episode_retrace_ratio,state,state,,daily,DIAGNOSTIC_RESEARCH,self_fit_descriptive,False,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,no_explicit_timing|not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
state_ewm_if,state,state,,daily,DIAGNOSTIC_RESEARCH,self_fit_descriptive,False,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,no_explicit_timing|not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
