date,strategy_nav,benchmark_nav,excess_nav,strategy_nav_ret,benchmark_nav_ret,excess_nav_ret
2020-01-23,1.0,1.0,1.0,,,
2020-02-03,1.008529629593232,0.9181616272775269,1.0984227609072037,0.008529629593232002,-0.08183837272247307,0.0984227609072037
2020-02-04,1.0469974295932318,0.9340605974198981,1.1209095346547029,0.038142458953352776,0.017316090838509268,0.020471875263151862
2020-02-05,1.049895529593232,0.9518976513543195,1.1029500157915983,0.0027680106159631013,0.01909624919806241,-0.016022273259221564
2020-02-06,1.063311029593232,0.9749875806699531,1.0905893066479764,0.01277793801560212,0.024256735251717787,-0.01120695314080078
2020-02-07,1.060225129593232,0.9795587852001684,1.0823496717214167,-0.0029021611871933306,0.004688474623516958,-0.007555213384481951
2020-02-10,1.059394329593232,0.9878947731885043,1.0723756804319933,-0.0007836071573955605,0.008509941531107179,-0.009215128483903379
2020-02-11,1.072714329593232,0.9896657807915846,1.0839157525838885,0.012573221913613875,0.0017927087490952065,0.01076122142871272
2020-02-12,1.079941829593232,1.0029449962909085,1.076770743746739,0.0067375812931860235,0.013417878800156657,-0.006591848877661177
2020-02-13,1.0838976295932319,0.9953731034067947,1.08893602397277,0.0036629750710646114,-0.00754965916587258,0.011297929755873959
2020-02-14,1.080259129593232,0.9997349057801678,1.0805455759796896,-0.003356866830094729,0.004382077794190087,-0.00770517992642894
2020-02-17,1.107763710267234,1.0276254909255351,1.0779838764699405,0.025461095324747385,0.027897980738806227,-0.002370746377288624
2020-02-18,1.1278670102672341,1.0337828054097042,1.091009643771588,0.018147642691012544,0.005991788388417074,0.01208345281035439
2020-02-19,1.129398610267234,1.028746015232893,1.0978400825315027,0.0013579615203365147,-0.004872193801690239,0.006260658463386415
2020-02-20,1.155389110267234,1.0506419067180222,1.0996982919484142,0.023012689907463413,0.021284059584106618,0.001692604821484256
2020-02-21,1.1715958102672341,1.058474438456929,1.106872086561879,0.014027049290997518,0.007454996501494948,0.006523420710924821
2020-02-24,1.191399310267234,1.0648901641133712,1.1188001827955603,0.016903013672849188,0.006061294844110998,0.010776399891636812
2020-02-25,1.193030210267234,1.065750049565936,1.119427778354913,0.0013688945309480172,0.0008074874588410719,0.0005609541086992742
2020-02-26,1.145083510267234,1.0457610543175828,1.0949762429376992,-0.04018900744287113,-0.018755800439788306,-0.02184288784859989
2020-02-27,1.153111510267234,1.0481201701058371,1.100171090258472,0.007010842377885851,0.0022558841510824656,0.0047442557354810955
2020-02-28,1.090858210267234,1.000897756055398,1.089879764109349,-0.053987233190979755,-0.045054389179125076,-0.009354296109258087
2020-03-02,1.109949083575494,1.0371131907765032,1.070229453686205,0.017500783446075197,0.036182951257511586,-0.0180297965612769
2020-03-03,1.122729983575494,1.0463402517726783,1.0730065881279045,0.01151485251812523,0.008896869771048532,0.0025948962926916064
2020-03-04,1.114471483575494,1.0518359445485266,1.0595487721745924,-0.007355731227289053,0.005252299877155364,-0.012542155940339694
2020-03-05,1.123792783575494,1.0720833509691532,1.0482326607904096,0.008363874838766439,0.019249585950703807,-0.010680123163144262
2020-03-06,1.109094583575494,1.061321416716975,1.0450129113631734,-0.01307910160557868,-0.010038337264028363,-0.003071598079006921
2020-03-09,1.051656783575494,1.023170125886339,1.0278415651204416,-0.05178800875109524,-0.035946971605124944,-0.016431707260279316
2020-03-10,1.083746283575494,1.0465875245323537,1.0355046837193516,0.03051328199576675,0.022887101620298944,0.007455544569276107
2020-03-11,1.0648952835754941,1.032985295067688,1.0308910384883214,-0.017394292636286335,-0.012996743364338759,-0.004455455686070642
2020-03-12,1.038955083575494,1.0129807060416978,1.0256415323400316,-0.024359390449080864,-0.019365802322171,-0.005092202718133598
2020-03-13,1.027312183575494,1.0012430468459357,1.0260367718024908,-0.011206355485486208,-0.011587248528777905,0.00038535828551844453
2020-03-16,0.9715198685312479,0.9572129018460803,1.0149464833346638,-0.05430901719676329,-0.04397548141638219,-0.010808860630154737
2020-03-17,0.968817668531248,0.9542879546978483,1.0152257122830395,-0.002781415066770765,-0.00305569131234118,0.00027511691794646076
2020-03-18,0.961459168531248,0.9371013840591493,1.025992688610266,-0.007595340422677843,-0.018009837129444484,0.010605500035074655
2020-03-19,0.968851068531248,0.9346130626847583,1.0366333482951096,0.007688210006143059,-0.0026553384902844313,0.010371087243571608
2020-03-20,0.979370668531248,0.9483244485928842,1.0327379727311996,0.010857809153214326,0.0146706551144693,-0.003757717779691805
2020-03-23,0.930031468531248,0.9123117329810625,1.0194228956064004,-0.05037847424407094,-0.037975099835564796,-0.012892986872154899
2020-03-24,0.953587668531248,0.933367788156303,1.0216633578226282,0.02532839027178424,0.023079890802716996,0.0021977750606583246
2020-03-25,0.982481468531248,0.9573532458448151,1.0262475975252567,0.030300098201252235,0.02569775601094082,0.004487035448152321
2020-03-26,0.9775521685312479,0.9497813529607014,1.0292391669766712,-0.005017193868673164,-0.007909194351173765,0.002915056228758539
2020-03-27,0.973570968531248,0.9485026631944522,1.0264293462839298,-0.004072621521551745,-0.0013462990847979972,-0.002729997830334341
2020-03-30,0.9551699183154541,0.9335905564082628,1.0231143746678544,-0.01890057408301138,-0.015721734228944628,-0.0032296150028026105
2020-03-31,0.958693618315454,0.936127886798085,1.0241053939697837,0.0036890818402388614,0.00271781925428205,0.0009686300246256607
2020-04-01,0.961509018315454,0.9324655767358659,1.0311469316446573,0.0029367046428734334,-0.003912189898268692,0.006875793952786591
2020-04-02,0.995247918315454,0.9511647438053717,1.0463465186206509,0.03508953047482577,0.02005346635418226,0.014740466668266672
2020-04-03,0.986427618315454,0.945593309823857,1.043183795895514,-0.008862414919620365,-0.00585748580127643,-0.0030226341549893787
2020-04-07,1.016812318315454,0.9717730347941733,1.0463475337436383,0.030802766909435064,0.027686030239779225,0.0030327712724951272
2020-04-08,1.015566818315454,0.9706079568364234,1.0463203100308063,-0.0012249064823126599,-0.001198919825961875,-2.6017849666715165e-05
2020-04-09,1.024836618315454,0.9769902672550719,1.048973211570275,0.009127710587646165,0.006575580154371208,0.002535458323838391
2020-04-10,0.995674218315454,0.9622162767850976,1.0347717476180556,-0.028455657691013103,-0.015121942321373316,-0.013538442922637062
2020-04-13,0.979209218315454,0.955847332461567,1.0244410221805231,-0.016536533433452294,-0.00661903615350401,-0.009983578949959493
2020-04-14,1.014419318315454,0.9752950008576576,1.0401153675794412,0.03595768845045422,0.02034599850376484,0.015300388269844145
2020-04-15,1.0183070183154541,0.9691956061189982,1.0506723430093903,0.0038324388443784496,-0.006253897265233288,0.010149811991065238
2020-04-16,1.0297681183154541,0.9732388498920688,1.0580836538015868,0.01125505352890488,0.004171752066913559,0.0070538744466885905
2020-04-17,1.039832518315454,0.9783090553066739,1.0628875534526194,0.009773462414493617,0.005209620860457287,0.004540188891277941
2020-04-20,1.048069318315454,0.9863487615199031,1.0625747800407264,0.007921275642873482,0.008217961562983822,-0.0002942676399559918
2020-04-21,1.036565418315454,0.9775761477577262,1.0603423791517745,-0.010976277808122381,-0.008894028263044529,-0.00210093532322142
2020-04-22,1.047819018315454,0.9861170825378649,1.0625705982283498,0.010856623037153401,0.008736848581800238,0.002101414713196359
2020-04-23,1.040357618315454,0.9822587364139211,1.059148246533946,-0.0071208862118151695,-0.003912665333830279,-0.003220822880013796
